id,A,B,C,D,E,F,G,H,I,Target
0,-0.764706,-0.125628,-0.0491803,-0.676768,-0.877069,-0.0253353,-0.924851,-0.866667,0.10870810502280137,1.0
1,-0.294118,-0.0150754,-0.0491803,-0.333333,-0.550827,0.0134128,-0.699402,-0.266667,0.14155660933782377,1.0
2,-0.529412,0.296482,-0.0163934,-0.757576,-0.453901,-0.180328,-0.616567,-0.666667,0.39194841218739596,1.0
3,-0.294118,-0.0351759,0.0,0.0,0.0,-0.293592,-0.904355,-0.766667,-0.3086654333522736,1.0
4,-0.882353,0.678392,0.213115,-0.656566,-0.659574,-0.302534,-0.684885,-0.6,-0.4615135381012381,0.0
5,-0.411765,0.306533,0.344262,0.0,0.0,0.165425,-0.250213,-0.466667,-0.22652930739892518,0.0
6,0.0,-0.21608,0.442623,-0.414141,-0.905437,0.0998511,-0.695986,0.0,-0.9281154524065158,1.0
7,0.0,0.21608,0.0819672,-0.393939,-0.609929,0.0223547,-0.893254,-0.6,-0.5740716769821785,0.0
8,-0.882353,0.969849,0.245902,-0.272727,-0.411348,0.0879285,-0.319385,-0.733333,-0.8588625051991403,0.0
9,-0.529412,0.849246,0.278689,-0.212121,-0.345154,0.102832,-0.841161,-0.666667,0.50474905887536,0.0
10,0.0,0.19598,0.0819672,-0.454545,0.0,0.156483,-0.845431,-0.966667,-0.2502588409525919,1.0
11,-0.882353,0.306533,0.147541,-0.737374,-0.751773,-0.228018,-0.663535,-0.966667,-0.9185423953620597,1.0
12,-0.764706,-0.115578,0.213115,-0.616162,-0.874704,-0.135618,-0.87105,-0.966667,0.3442710948117571,1.0
13,-0.411765,0.155779,0.606557,0.0,0.0,0.576751,-0.88813,-0.766667,0.2457809516380005,0.0
14,0.0,0.266332,0.377049,-0.414141,-0.491726,-0.0849478,-0.622545,-0.9,0.6452011213193165,1.0
15,-0.176471,-0.165829,0.278689,-0.474747,-0.832151,-0.126677,-0.411614,-0.5,0.726206851751187,1.0
16,-0.882353,-0.0854271,-0.114754,-0.494949,-0.763593,-0.248882,-0.866781,-0.933333,-0.5771039860069107,1.0
17,-0.647059,-0.19598,0.0,0.0,0.0,0.0,-0.918019,-0.966667,-0.43807362081553936,1.0
18,-0.529412,0.165829,0.180328,-0.757576,-0.794326,-0.341282,-0.671221,-0.466667,0.5012295032817167,1.0
19,-0.882353,0.0954774,-0.0819672,-0.575758,-0.680851,-0.248882,-0.355252,-0.933333,-0.5158894569769992,1.0
20,-0.176471,0.296482,0.114754,-0.010101,-0.704492,0.147541,-0.691716,-0.266667,0.8587519782551716,0.0
21,-0.882353,0.246231,0.213115,-0.272727,0.0,-0.171386,-0.981213,-0.7,0.7935768198120237,1.0
22,-0.764706,0.467337,0.147541,-0.232323,-0.148936,-0.165425,-0.778822,-0.733333,-0.9253036225015712,0.0
23,-0.647059,-0.256281,0.114754,-0.434343,-0.893617,-0.114754,-0.816396,-0.933333,0.15380776925271822,1.0
24,-0.529412,0.718593,0.180328,0.0,0.0,0.299553,-0.657558,-0.833333,-0.0149646123622722,0.0
25,-0.176471,0.00502513,0.0,0.0,0.0,-0.105812,-0.653288,-0.633333,-0.6363500655857988,0.0
26,-0.882353,0.0653266,0.147541,-0.434343,-0.680851,0.0193741,-0.945346,-0.966667,0.18718490710809732,1.0
27,0.0588235,0.346734,0.213115,-0.333333,-0.858156,-0.228018,-0.673783,1.0,-0.15155598150604743,1.0
28,0.0588235,0.0653266,-0.147541,0.0,0.0,-0.0700447,-0.742101,-0.3,0.9333096380873391,1.0
29,-0.411765,-0.145729,0.213115,-0.555556,0.0,-0.135618,-0.0213493,-0.633333,-0.34920060368146455,0.0
30,-0.764706,0.396985,0.229508,0.0,0.0,-0.23696,-0.923997,-0.733333,0.7754083655165995,1.0
31,0.0,-0.0452261,0.393443,-0.494949,-0.914894,0.114754,-0.855679,-0.9,0.5111022770860973,0.0
32,0.0,-0.0552764,0.0,0.0,0.0,0.0,-0.847993,-0.866667,0.5831580874516971,1.0
33,-0.647059,0.487437,0.0819672,-0.494949,0.0,-0.0312965,-0.847993,-0.966667,-0.8194204598911834,1.0
34,-0.176471,0.366834,0.47541,0.0,0.0,-0.108793,-0.887276,-0.0333333,-0.42857582743627853,1.0
35,0.0,-0.0452261,0.311475,-0.0909091,-0.782506,0.0879285,-0.784799,-0.833333,0.9732791570023509,1.0
36,-0.882353,0.0753769,0.114754,-0.616162,0.0,-0.210134,-0.925705,-0.9,0.27511494271042625,1.0
37,-0.882353,-0.0452261,-0.0163934,-0.636364,-0.862884,-0.28763,-0.844577,-0.966667,-0.5045380209976851,1.0
38,0.0,0.0452261,0.0491803,-0.535354,-0.725768,-0.171386,-0.678907,-0.933333,0.8264811051129426,1.0
39,-0.176471,0.427136,0.47541,-0.515152,0.134752,-0.0938897,-0.957301,-0.266667,0.1432253789397997,0.0
40,0.294118,0.366834,0.377049,-0.292929,-0.692671,-0.156483,-0.844577,-0.3,-0.9598576044445473,0.0
41,-0.529412,0.839196,0.0,0.0,0.0,-0.153502,-0.885568,-0.5,0.33511547704205435,0.0
42,-0.529412,0.447236,-0.0491803,-0.434343,-0.669031,-0.120715,-0.82152,-0.466667,-0.5014155417022501,1.0
43,-0.882353,0.0954774,-0.0163934,-0.838384,-0.56974,-0.242921,-0.257899,0.0,-0.9534561285283483,1.0
44,0.0,-0.155779,0.344262,-0.373737,-0.704492,0.138599,-0.867635,-0.933333,-0.8524068705292023,1.0
45,-0.647059,-0.105528,0.213115,-0.676768,-0.799054,-0.0938897,-0.596072,-0.433333,0.09905776464747107,1.0
46,-0.882353,0.537688,0.344262,-0.151515,0.146572,0.210134,-0.479932,-0.933333,-0.5208762186660552,1.0
47,0.0,0.628141,0.245902,0.131313,-0.763593,0.585693,-0.418446,-0.866667,0.7851179969799555,0.0
48,0.0,0.0251256,0.409836,-0.656566,-0.751773,-0.126677,-0.4731,-0.8,0.02335488423133225,1.0
49,-0.411765,0.0854271,0.180328,-0.131313,-0.822695,0.0760059,-0.842015,-0.6,0.15656028199234795,1.0
50,-0.882353,0.517588,-0.0163934,0.0,0.0,-0.222057,-0.913749,-0.966667,-0.7842171460133911,1.0
51,-0.529412,-0.236181,0.0163934,0.0,0.0,0.0134128,-0.732707,-0.866667,-0.6775574254919912,1.0
52,-0.882353,0.175879,0.442623,-0.515152,-0.65721,0.028316,-0.722459,-0.366667,0.6360295318449862,0.0
53,-0.882353,0.467337,-0.0819672,0.0,0.0,-0.114754,-0.58497,-0.733333,-0.48244003679996617,1.0
54,-0.764706,0.0552764,0.311475,-0.0909091,-0.548463,0.004471,-0.459436,-0.733333,0.9264450788812226,0.0
55,0.0,0.658291,0.47541,-0.333333,0.607565,0.558867,-0.701964,-0.933333,-0.9690867669422651,1.0
56,-0.764706,0.276382,-0.245902,-0.575758,-0.208038,0.0253354,-0.916311,-0.966667,-0.6912745694515954,1.0
57,0.529412,0.457286,0.344262,-0.616162,-0.739953,-0.338301,-0.857387,0.2,-0.6006524356832805,1.0
58,-0.764706,-0.0854271,0.0163934,0.0,0.0,-0.186289,-0.618275,-0.966667,0.8218543689876849,1.0
59,-0.176471,0.0653266,-0.0163934,-0.515152,0.0,-0.210134,-0.813834,-0.733333,0.7341446371602074,0.0
60,-0.0588235,0.20603,0.278689,0.0,0.0,-0.254843,-0.717336,0.433333,-0.3809447674273445,1.0
61,0.176471,0.336683,0.114754,0.0,0.0,-0.195231,-0.857387,-0.5,0.027978978319621595,1.0
62,0.529412,0.0653266,0.147541,0.0,0.0,0.0193741,-0.852263,0.0333333,0.6187223109570272,1.0
63,-0.529412,0.115578,0.180328,-0.0505051,-0.510638,0.105812,0.12041,0.166667,-0.8046557719872323,0.0
64,-0.882353,0.819095,0.278689,-0.151515,-0.307329,0.19225,0.00768574,-0.966667,-0.6154219623826584,0.0
65,-0.882353,0.407035,0.213115,-0.474747,-0.574468,-0.281669,-0.359522,-0.933333,0.7310142517879605,1.0
66,0.0,0.0954774,0.442623,-0.393939,0.0,-0.0312965,-0.336465,-0.433333,-0.4381309806252385,0.0
67,-0.529412,0.175879,0.0491803,-0.454545,-0.716312,-0.0104321,-0.870196,-0.9,-0.854473987271613,1.0
68,0.411765,-0.115578,0.213115,-0.191919,-0.87234,0.052161,-0.743809,-0.1,-0.6741311458371406,1.0
69,-0.882353,-0.0854271,0.0491803,-0.515152,0.0,-0.129657,-0.902647,0.0,-0.9513680671370923,1.0
70,-0.0588235,0.819095,0.114754,-0.272727,0.170213,-0.102832,-0.541418,0.3,-0.4841167445696888,0.0
71,0.0588235,0.718593,0.803279,-0.515152,-0.432624,0.353204,-0.450897,0.1,-0.00964617977745963,0.0
72,-0.176471,-0.18593,0.278689,-0.191919,-0.886525,0.391952,-0.843723,-0.3,-0.7608115081233966,1.0
73,0.176471,-0.0954774,0.393443,-0.353535,0.0,0.0402385,-0.362084,0.166667,0.537974830361021,0.0
74,-0.882353,-0.0251256,0.114754,-0.575758,0.0,-0.18927,-0.131512,-0.966667,-0.36137272481917027,1.0
75,-0.882353,-0.20603,0.229508,-0.393939,0.0,-0.0461997,-0.728437,-0.966667,-0.9889557657527952,1.0
76,-0.529412,0.567839,0.229508,0.0,0.0,0.439642,-0.863365,-0.633333,0.3660135468327137,0.0
77,0.0,0.0150754,0.245902,0.0,0.0,0.0640835,-0.897523,-0.833333,-0.4695952646365491,1.0
78,-0.529412,0.105528,0.245902,-0.59596,-0.763593,-0.153502,-0.965841,-0.8,0.2212400848832652,1.0
79,-0.882353,-0.115578,-0.508197,-0.151515,-0.765957,0.639344,-0.64304,-0.833333,-0.7798961509446465,0.0
80,-0.176471,-0.0251256,0.245902,-0.353535,-0.78487,0.219076,-0.322801,-0.633333,0.4266991717691049,0.0
81,-0.294118,-0.145729,0.278689,0.0,0.0,-0.0700447,-0.740393,-0.3,0.2903455808188997,1.0
82,0.0,0.0552764,0.377049,0.0,0.0,-0.168405,-0.433817,0.366667,0.7214611665126869,0.0
83,0.411765,-0.155779,0.180328,-0.373737,0.0,-0.114754,-0.81298,-0.166667,0.6275900394138973,0.0
84,-0.176471,0.19598,0.0,0.0,0.0,-0.248882,-0.88813,-0.466667,0.31522578460068673,1.0
85,-0.647059,0.165829,0.0,0.0,0.0,-0.299553,-0.906917,-0.933333,-0.6535962601799696,1.0
86,-0.764706,0.125628,0.0819672,-0.555556,0.0,-0.254843,-0.804441,-0.9,-0.8519106965318193,1.0
87,-0.764706,-0.0954774,0.147541,-0.656566,0.0,-0.186289,-0.994022,-0.966667,0.005358046457722976,1.0
88,-0.647059,0.768844,0.409836,-0.454545,-0.631206,-0.00745157,-0.0811272,0.0333333,-0.08172848752347739,0.0
89,0.0,0.20603,0.213115,-0.636364,-0.851064,-0.0909091,-0.823228,-0.833333,-0.25871570586621817,1.0
90,-0.294118,0.949749,0.278689,0.0,0.0,-0.299553,-0.956447,0.266667,0.6719602410244117,0.0
91,0.176471,0.396985,0.311475,0.0,0.0,-0.19225,0.163962,0.2,0.6648852816008435,1.0
92,-0.0588235,0.437186,0.0819672,0.0,0.0,0.0402385,-0.956447,-0.333333,-0.015767413840923616,0.0
93,0.0,0.0753769,0.245902,0.0,0.0,0.350224,-0.480786,-0.9,0.6842378462714174,1.0
94,-0.411765,0.628141,0.704918,0.0,0.0,0.123696,-0.93766,0.0333333,-0.9816058967667407,0.0
95,-0.176471,0.0552764,0.0,0.0,0.0,0.0,-0.806149,-0.9,0.040136042355621626,1.0
96,0.0,0.316583,0.0,0.0,0.0,0.28763,-0.836038,-0.833333,0.5425406933718915,0.0
97,0.0,0.18593,0.377049,-0.0505051,-0.456265,0.365127,-0.596072,-0.666667,-0.6331909802931324,0.0
98,-0.529412,-0.0251256,-0.0163934,-0.535354,0.0,-0.159463,-0.688301,-0.966667,0.6073441537982289,1.0
99,-0.882353,0.356784,-0.114754,0.0,0.0,-0.204173,-0.479932,0.366667,0.5542938318548736,1.0
100,-0.529412,0.899497,0.803279,-0.373737,0.0,-0.150522,-0.485909,-0.466667,0.2123492689017601,1.0
101,-0.0588235,0.246231,0.245902,-0.515152,0.41844,-0.14456,-0.479932,0.0333333,-0.7058530381419241,0.0
102,0.0,0.175879,0.0,0.0,0.0,0.00745157,-0.270709,-0.233333,0.5156922209287382,1.0
103,-0.764706,0.0150754,-0.0491803,-0.656566,-0.373522,-0.278688,-0.542272,-0.933333,-0.6532528094104904,1.0
104,-0.411765,0.286432,0.311475,0.0,0.0,0.0312965,-0.943638,-0.2,-0.6309579612872454,1.0
105,-0.529412,-0.0452261,0.147541,-0.353535,0.0,-0.0432191,-0.54398,-0.9,0.14012234017872993,1.0
106,-0.176471,0.949749,0.114754,-0.434343,0.0,0.0700448,-0.430401,-0.333333,0.754678706761962,0.0
107,0.0,0.98995,0.0819672,-0.353535,-0.352246,0.230999,-0.637916,-0.766667,0.12187594307077254,0.0
108,-0.647059,0.0351759,0.180328,-0.393939,-0.640662,-0.177347,-0.443211,-0.8,0.06523453291004633,1.0
109,-0.411765,-0.0351759,0.213115,-0.636364,-0.841608,0.00149028,-0.215201,-0.266667,0.9801077002085266,1.0
110,-0.882353,-0.135678,0.0819672,0.0505051,-0.846336,0.230999,-0.283518,-0.733333,0.6766574094222757,1.0
111,0.0,0.798995,0.47541,-0.454545,0.0,0.314456,-0.480786,-0.933333,-0.609514024403911,0.0
112,-0.529412,0.145729,0.0491803,0.0,0.0,-0.138599,-0.959009,-0.9,0.7371982563789206,1.0
113,-0.0588235,-0.256281,0.147541,-0.191919,-0.884161,0.052161,-0.46456,-0.4,-0.0147497914182817,1.0
114,-0.647059,0.135678,-0.278689,-0.737374,0.0,-0.33234,-0.947054,-0.966667,-0.2830685429114548,1.0
115,-0.529412,0.296482,0.409836,-0.59596,-0.361702,0.0461997,-0.869342,-0.933333,-0.6025686369316552,1.0
116,-0.411765,0.668342,0.245902,0.0,0.0,0.362146,-0.77626,-0.8,-0.43593085485738703,0.0
117,-0.882353,-0.0452261,0.213115,-0.575758,-0.827423,-0.228018,-0.491887,-0.5,0.7109211680220144,1.0
118,-0.882353,0.125628,0.311475,-0.0909091,-0.687943,0.0372578,-0.881298,-0.9,-0.43244818840255106,1.0
119,-0.764706,0.417085,-0.0491803,-0.313131,-0.6974,-0.242921,-0.469684,-0.9,-0.4573019364522082,1.0
120,-0.764706,-0.0452261,-0.114754,-0.717172,-0.791962,-0.222057,-0.427839,-0.966667,-0.942434647373322,1.0
121,-0.882353,-0.115578,0.278689,-0.414141,-0.820331,-0.0461997,-0.75491,-0.733333,0.6992947813548229,1.0
122,-0.294118,0.487437,0.180328,-0.292929,0.0,0.00149028,-0.53117,-0.0333333,-0.250919762305275,0.0
123,-0.294118,-0.00502513,-0.0163934,-0.616162,-0.87234,-0.198212,-0.642186,-0.633333,-0.19303426757520592,1.0
124,-0.0588235,0.768844,0.47541,-0.313131,-0.29078,0.004471,-0.667805,0.233333,0.5502656467222291,0.0
125,-0.0588235,0.678392,0.737705,-0.0707071,-0.453901,0.120715,-0.925705,-0.266667,0.49087894836866,0.0
126,-0.882353,0.0753769,0.180328,-0.393939,-0.806147,-0.0819672,-0.3655,-0.9,-0.3620487394124774,1.0
127,-0.647059,-0.115578,-0.0491803,-0.777778,-0.87234,-0.260805,-0.838599,-0.966667,0.21508970380287673,1.0
128,-0.882353,0.0552764,-0.0491803,0.0,0.0,-0.275708,-0.906917,0.0,-0.32194041790259864,1.0
129,-0.411765,-0.266332,-0.0163934,0.0,0.0,-0.201192,-0.837746,-0.8,-0.7730529575188219,1.0
130,0.0,0.00502513,0.442623,0.212121,-0.739953,0.394933,-0.24509,-0.666667,0.8437484700462337,1.0
131,0.0,0.376884,0.377049,-0.454545,0.0,-0.186289,-0.869342,0.266667,-0.5528083229610947,1.0
132,0.0,0.527638,0.344262,-0.212121,-0.356974,0.23696,-0.836038,-0.8,-0.6621298738556709,1.0
133,-0.294118,0.0854271,-0.278689,-0.59596,-0.692671,-0.28465,-0.372331,-0.533333,0.8083173889874968,1.0
134,-0.294118,0.0351759,0.0819672,0.0,0.0,-0.275708,-0.853971,-0.733333,-0.4835112234020833,1.0
135,-0.0588235,0.18593,0.180328,-0.616162,0.0,-0.311475,0.193851,-0.166667,0.475793833391537,1.0
136,-0.882353,-0.00502513,-0.0491803,-0.79798,0.0,-0.242921,-0.596072,0.0,0.2115496387137743,1.0
137,-0.764706,0.125628,0.229508,-0.353535,0.0,0.0640835,-0.940222,0.0,-0.49951420367080934,1.0
138,-0.294118,0.0251256,0.47541,-0.212121,0.0,0.0640835,-0.491033,-0.766667,-0.3599007979387765,1.0
139,-0.411765,-0.557789,0.0163934,0.0,0.0,-0.254843,-0.565329,-0.5,-0.22264542062103598,1.0
140,-0.647059,-0.155779,0.180328,-0.353535,0.0,0.108793,-0.838599,-0.766667,-0.07260319012003569,1.0
141,-0.764706,0.296482,0.213115,-0.474747,-0.515366,-0.0104321,-0.561913,-0.866667,-0.7759221956638953,1.0
142,-0.176471,0.246231,0.147541,-0.333333,-0.491726,-0.23994,-0.92912,-0.466667,0.3431463911855992,1.0
143,0.0,0.286432,0.114754,-0.616162,-0.574468,-0.0909091,0.121264,-0.866667,0.2748598029964131,0.0
144,0.0,0.778894,-0.0163934,-0.414141,0.130024,0.0312965,-0.151153,0.0,0.2992657980944293,0.0
145,-0.882353,0.19598,0.409836,-0.212121,-0.479905,0.359165,-0.376601,-0.733333,-0.24883409472011198,0.0
146,-0.294118,0.0753769,0.442623,0.0,0.0,0.0968703,-0.445773,-0.666667,-0.7977546477544195,1.0
147,-0.411765,0.326633,0.311475,0.0,0.0,-0.201192,-0.907771,0.6,0.7921825998469865,1.0
148,-0.764706,-0.165829,0.0819672,-0.535354,-0.881797,-0.0402384,-0.642186,-0.966667,0.40193826291824,1.0
149,-0.176471,0.0753769,0.213115,0.0,0.0,-0.117735,-0.849701,-0.666667,-0.39151551408092455,0.0
150,-0.647059,0.125628,0.213115,-0.393939,0.0,-0.0581222,-0.898377,-0.866667,-0.18209411117146024,0.0
151,-0.529412,0.18593,0.147541,0.0,0.0,0.326379,-0.29462,-0.833333,-0.35264152719151265,1.0
152,-0.411765,0.437186,0.278689,0.0,0.0,0.341282,-0.904355,-0.133333,0.3818754762049319,1.0
153,-0.882353,-0.175879,0.0491803,-0.737374,-0.775414,-0.368107,-0.712212,-0.933333,0.6255991345150052,1.0
154,0.0,-0.0653266,-0.0163934,-0.494949,-0.782506,-0.14456,-0.612297,-0.966667,-0.35359413595848954,1.0
155,0.0588235,0.457286,0.311475,-0.0707071,-0.692671,0.129657,-0.52263,-0.366667,-0.13668090754064122,0.0
156,-0.882353,-0.0452261,0.344262,-0.494949,-0.574468,0.0432191,-0.867635,-0.266667,-0.01115939059483706,0.0
157,-0.764706,-0.155779,0.0,0.0,0.0,0.0,-0.807003,0.0,-0.9095454221789239,1.0
158,-0.647059,0.58794,0.147541,-0.393939,-0.224586,0.0581222,-0.772844,-0.533333,0.7822862273961422,0.0
159,0.0,0.0150754,0.0655738,-0.434343,0.0,-0.266766,-0.864219,-0.966667,0.24659625365511584,1.0
160,-0.764706,-0.145729,0.0655738,0.0,0.0,0.180328,-0.272417,-0.8,-0.37128803784734665,1.0
161,-0.647059,-0.155779,0.114754,-0.393939,-0.749409,-0.0491803,-0.561913,-0.866667,0.34340136881171346,1.0
162,-0.647059,0.296482,0.0491803,-0.414141,-0.728132,-0.213115,-0.87959,-0.766667,0.14687577624657222,0.0
163,-0.647059,-0.0351759,-0.0819672,-0.313131,-0.728132,-0.263785,-0.260461,-0.4,-0.17476464617714704,1.0
164,-0.764706,0.145729,0.114754,-0.555556,0.0,-0.14456,-0.988044,-0.866667,-0.661014506627815,1.0
165,-0.411765,0.165829,0.213115,-0.414141,0.0,-0.0372578,-0.502989,-0.533333,0.3934743307283013,0.0
166,-0.529412,0.326633,0.0,0.0,0.0,-0.019374,-0.808711,-0.933333,-0.45318585613858753,0.0
167,-0.529412,-0.0351759,-0.0819672,-0.656566,-0.884161,-0.38003,-0.77626,-0.833333,-0.812036120318262,1.0
168,0.0,0.0552764,0.47541,0.0,0.0,-0.117735,-0.898377,-0.166667,-0.8872490066981458,1.0
169,-0.294118,0.517588,0.0163934,-0.373737,-0.716312,0.0581222,-0.475662,-0.766667,-0.9389995001219011,1.0
170,-0.176471,0.798995,0.557377,-0.373737,0.0,0.0193741,-0.926558,0.3,0.09746757873317224,1.0
171,-0.882353,-0.0351759,1.0,0.0,0.0,-0.33234,-0.889838,-0.8,0.815132947852186,1.0
172,-0.882353,0.125628,0.180328,-0.393939,-0.583924,0.0253354,-0.615713,-0.866667,0.791046456992401,1.0
173,0.176471,0.798995,0.147541,0.0,0.0,0.0461997,-0.895816,-0.466667,0.32039475343546253,1.0
174,-0.764706,0.00502513,0.147541,0.0505051,-0.865248,0.207154,-0.488471,-0.866667,0.6202267893583615,1.0
175,0.0,0.256281,0.114754,0.0,0.0,-0.263785,-0.890692,0.0,0.6124025595861227,1.0
176,-0.882353,-0.0954774,0.114754,-0.838384,0.0,-0.269747,-0.0947908,-0.5,-0.2981699748958426,1.0
177,0.0588235,0.236181,0.147541,-0.111111,-0.777778,-0.0134128,-0.747225,-0.366667,-0.5162954181990966,1.0
178,-0.529412,0.155779,0.180328,0.0,0.0,-0.138599,-0.745517,-0.166667,-0.7937522623281348,0.0
179,-0.764706,-0.0351759,0.114754,-0.737374,-0.884161,-0.371088,-0.514091,-0.833333,-0.7602692653326344,1.0
180,0.411765,0.407035,0.393443,-0.333333,0.0,0.114754,-0.858241,-0.333333,-0.7140166358943283,1.0
181,-0.529412,0.447236,0.344262,-0.353535,0.0,0.147541,-0.59351,-0.466667,0.9001239341016098,0.0
182,-0.0588235,0.266332,0.213115,-0.232323,-0.822695,-0.228018,-0.928266,-0.4,0.9397576534152781,1.0
183,-0.294118,0.658291,0.114754,-0.474747,-0.602837,0.00149028,-0.527754,-0.0666667,0.9730304975859594,1.0
184,-0.411765,0.58794,0.147541,0.0,0.0,-0.111773,-0.889838,0.4,-0.9469773789167564,1.0
185,-0.764706,-0.0753769,0.245902,-0.59596,0.0,-0.278688,0.383433,-0.766667,-0.8364819361022562,1.0
186,-0.882353,-0.0954774,0.0163934,-0.636364,-0.86052,-0.251863,0.0162254,-0.866667,0.6289369651778716,1.0
187,-0.529412,0.58794,0.278689,0.0,0.0,-0.019374,-0.380871,-0.666667,0.613669478534528,0.0
188,-0.294118,0.256281,0.278689,-0.373737,0.0,-0.177347,-0.584116,-0.0666667,0.015220757368910043,0.0
189,-0.882353,0.316583,0.0491803,-0.717172,-0.0189125,-0.293592,-0.734415,0.0,-0.6451209124405544,1.0
190,-0.882353,0.447236,0.344262,-0.191919,0.0,0.230999,-0.548249,-0.766667,0.16673753019431925,1.0
191,-0.176471,0.879397,0.114754,-0.212121,-0.281324,0.123696,-0.849701,-0.333333,0.19579995762217028,0.0
192,-0.411765,0.125628,0.0819672,0.0,0.0,0.126677,-0.843723,-0.333333,0.4929828102360483,0.0
193,-0.764706,0.00502513,0.0819672,-0.59596,-0.787234,-0.019374,-0.326217,-0.766667,-0.8508987126404584,0.0
194,-0.882353,0.899497,-0.0163934,-0.535354,1.0,-0.102832,-0.726729,0.266667,-0.5753217786434477,0.0
195,-0.0588235,0.557789,0.0163934,-0.474747,0.170213,0.0134128,-0.602904,-0.166667,-0.846040180342414,0.0
196,-0.294118,0.0351759,0.180328,-0.353535,-0.550827,0.123696,-0.789923,0.133333,-0.6767425718107725,1.0
197,-0.764706,0.0854271,0.0163934,-0.353535,-0.867612,-0.248882,-0.957301,0.0,0.40496816797421853,1.0
198,-0.0588235,-0.0452261,0.180328,0.0,0.0,0.0968703,-0.652434,0.2,-0.804331678697997,1.0
199,-0.647059,0.417085,0.0,0.0,0.0,-0.105812,-0.416738,-0.8,0.392059593349946,0.0
200,0.0,0.889447,0.344262,-0.717172,-0.562648,-0.0461997,-0.484202,-0.966667,-0.7422405561787015,0.0
201,-0.529412,0.547739,0.0163934,-0.373737,-0.328605,-0.0223547,-0.864219,-0.933333,-0.005502988215229099,1.0
202,-0.764706,-0.155779,-0.180328,-0.535354,-0.820331,-0.0938897,-0.239966,0.0,0.07219273268824078,1.0
203,-0.764706,-0.00502513,-0.147541,-0.69697,-0.777778,-0.266766,-0.52263,0.0,0.9713009082212014,1.0
204,-0.764706,0.226131,-0.147541,-0.131313,-0.626478,0.0789866,-0.369769,-0.766667,-0.8612773982496691,1.0
205,-0.176471,0.145729,0.245902,-0.656566,-0.739953,-0.290611,-0.668659,-0.666667,-0.9756910506203673,1.0
206,-0.294118,-0.0753769,0.0163934,-0.353535,-0.702128,-0.0461997,-0.994022,-0.166667,0.24061910270692932,1.0
207,0.0,0.809045,0.278689,0.272727,-0.966903,0.770492,1.0,-0.866667,-0.8373024387162005,0.0
